"Name"," Salary and Other Compensation ", Travel
"AHMED, SARFARAZ","104,777", -   
"ALLAN, JOHN","154,711"," 20,442 "
"BASKERVILLE, SHANNON L","301,584"," 22,407 "
"BOND, ALLISON HAYWARD","270,148"," 23,207 "
"BROUWER, SHAUNA JANICE M","202,595"," 7,546 "
"BROWN, STEPHEN R","301,915"," 11,545 "
"BROWNSEY, SILAS O","205,260", -   
"CARROLL, SANDRA RUTH","236,036"," 13,982 "
"CAUL, DOUGLAS D","281,606"," 25,066 "
"DAWES, JACQUELINE R","279,171"," 6,156 "
"DENLINGER, REBECCA FAYE","234,986"," 4,330 "
"FAGANELLO, TARA","23,078", -   
"FEULGEN, SABINE C H","228,680"," 9,866 "
"FISHER, JASON","48,597"," 7,910 "
"FYFE, RICHARD J","287,419"," 30,373 "
"GALBRAITH, DAVID L","272,711"," 24,647 "
"HALLS, LORI D","271,262"," 8,069 "
"HUGHES, BETTE-JO","3,531", -   
"HUGHES, DOUGLAS J","243,424"," 1,252 "
"HUGHES, TREVOR","267,743"," 48,197 "
"JACOBSON, JOHN","7,900", -   
"JARDINE, KEVIN D","230,177"," 18,557 "
"KENNEDY, CHRISTINE VALERIE","219,758", -   
"KOT, JILL","247,748"," 14,709 "
"KRISHNA, KATHRYN AURA MATHENY","10,157", -   
"LLOYD, EVAN S","272,858"," 10,050 "
"MACDONALD, DOUGLAS SCOTT","268,592"," 48,910 "
"MACDONALD, RONALD JOSEPH","219,247"," 15,627 "
"MACKENZIE, ISOBEL","227,834"," 29,647 "
"MAIN, GRANT M","281,905"," 8,887 "
"MANWARING, RICK","218,230", -   
"MARANDA, PIERRETTE","222,823"," 9,601 "
"MAYHEW, NEILANE","241,639"," 11,856 "
"MIHLAR, FAZIL","286,003"," 51,254 "
"NIKOLEJSIN, DAVID J","261,493"," 78,025 "
"PLECAS, BOBBI-LYNN","241,070"," 43,393 "
"RICHTER, KEVIN J","209,872", -   
"RITCHIE, CAROL J","211,959"," 13,222 "
"SCOTT, DOUGLAS S","222,253"," 14,948 "
"SHELDAN, TIM R","259,227"," 10,257 "
"SHOEMAKER, WESLEY HOWARD","260,584"," 34,387 "
"SIEBEN, MARK K","271,673"," 16,569 "
"STEVENSON, LYNN","66,702"," 3,488 "
"TAYLOR, SHEILA","10,776", -   
"WANAMAKER, LORI M","282,189"," 13,899 "
"WENEZENKI-YOLLAND, CHERYL","7,728", -   
"WINTER, ALAN ERNEST","199,315", -   
"WOOD, HEATHER","213,186"," 3,791 "
"WRIGHT, DONALD JAMES","319,341"," 25,463 "
"YUMA MORISHO, OKENGE","242,503"," 15,081 "
"ZACHARIAS, MARK A","259,086"," 41,839 "
"ZACHARUK, CHRISTINA A B","240,110"," 22,804 "
